UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Avi sync time (s),Avi file index,Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Gradient (%),Radius of turn (m),sampleperiod (s),ComboAcc (g),Air Fuel Ratio ((null)),Battery Voltage (V),Brake Position (%),Brake Pressure (bar),Clutch Position (%),Coolant Temperature (°C),Engine Speed (rpm),Exhaust Temperature (°C),Fuel Level (%),Gear ((null)),Head Temperature (°C),Indicated Lateral Acceleration (g),Indicated Longitudinal Acceleration (g),Indicated Vehicle Speed (km/h),Oil Pressure (bar),Oil Temperature (°C),Steering Angle (Degrees),Throttle Position (%),Water Temp (Calc) (F),Oil Temp (Calc) (F),Oil Press (Calc) (psi),Water Press (Calc) (psi),Brake Press (Calc) ((null))
212124.600,12,17.00,26.7,38°9.631176 N,122°27.228036 W,0,1,0,0,32.28,-0.68,11099.000,1,0.000,0.00,0.00,0.00,0.00,0,0.00,0.100,0.20,500,13.3999996185303,0,0.209999993443489,255,81.70,2508,-50.00,21,255,0.90,0.10,-0.25,17.00,3.8199999332428,96.00,-1024.0,14,179.059997558594,204.800003051758,55.40,13.05,3.0457980632782
212124.700,12,17.93,27.6,38°9.631422 N,122°27.227862 W,0,1,0,0,32.26,-0.68,11199.000,1,0.100,0.49,-0.08,0.26,-0.02,-3.81526104417671,0.00,0.100,0.24,500,13.3999996185303,0,0.150000005960464,255,81.70,2566,-50.00,21,255,0.90,0.10,-0.25,17.60,3.89000010490417,96.00,-1024.0,13,179.059997558594,204.800003051758,56.42,13.05,2.17557001113892
212124.800,12,18.23,28.0,38°9.631674 N,122°27.227694 W,0,1,0,0,32.21,-0.72,11299.000,1,0.200,0.99,-0.03,0.08,-0.04,-3.95018379327371,0.00,0.100,0.17,500,13.3999996185303,0,0.140000000596046,255,81.70,2628,-50.00,21,255,0.90,0.03,-0.26,17.60,3.95000004768372,96.00,-1024.0,13,179.059997558594,204.800003051758,57.29,13.05,2.03053188323975
212124.900,12,19.48,29.2,38°9.631938 N,122°27.227484 W,0,1,0,0,32.19,-0.76,11399.000,1,0.300,1.51,-0.12,0.35,-0.06,-3.88090349075975,0.00,0.100,0.27,500,13.3999996185303,0,0.0700000002980232,255,81.70,2668,-50.00,21,255,0.90,0.03,-0.26,18.70,4.07000017166138,96.00,6.0,13,179.059997558594,204.800003051758,59.03,13.05,1.01526594161987
212125.000,12,19.45,29.8,38°9.632190 N,122°27.227298 W,0,1,0,0,32.12,-0.83,11499.000,1,0.400,2.05,-0.05,-0.01,-0.08,-4.25619409889997,37.12,0.100,0.15,500,13.3999996185303,0,0.0999999865889549,255,81.70,2775,-50.00,21,255,0.90,0.03,-0.26,16.80,4.23000001907349,96.00,6.0,13,179.059997558594,204.800003051758,61.35,13.05,1.45037996768951
212125.100,12,20.04,29.8,38°9.632454 N,122°27.227100 W,0,1,0,0,32.09,-0.86,11599.000,1,0.500,2.60,-0.01,0.17,-0.10,-4.3111621176588,44.83,0.100,0.16,500,13.3999996185303,0,0.0900000035762787,255,81.70,2775,-50.00,21,255,0.90,-0.12,-0.32,16.20,4.23999977111816,96.00,30.0,14,179.059997558594,204.800003051758,61.50,13.05,1.30534195899963
212125.200,12,20.17,30.3,38°9.632718 N,122°27.226896 W,0,1,0,0,32.05,-0.90,11699.000,1,0.600,3.16,-0.05,0.04,-0.13,-4.46185117247534,49.74,0.100,0.11,500,13.3999996185303,0,0.150000005960464,255,81.70,2832,-50.00,21,255,0.90,-0.12,-0.32,17.10,4.34999990463257,96.00,47.0,14,179.059997558594,204.800003051758,63.09,13.05,2.17557001113892
212125.300,12,20.44,30.1,38°9.632988 N,122°27.226698 W,0,1,0,0,32.00,-0.94,11799.000,1,0.700,3.72,0.01,0.08,-0.15,-4.57992856094339,65.48,0.100,0.10,500,13.3999996185303,0,0.109999999403954,255,81.70,2876,-50.00,21,255,0.90,-0.12,-0.32,18.20,4.42000007629395,96.00,69.0,14,179.059997558594,204.800003051758,64.11,13.05,1.59541797637939
212125.400,12,20.41,29.5,38°9.633264 N,122°27.226512 W,0,1,0,0,31.97,-0.94,11899.000,1,0.800,4.29,0.07,-0.01,-0.17,-4.58711100220534,118.71,0.100,0.04,500,13.3999996185303,0,-0.0299999993294477,255,81.70,2955,-50.00,21,255,0.90,-0.12,-0.32,19.40,4.40999984741211,96.00,69.0,14,179.059997558594,204.800003051758,63.96,13.05,-0.435113996267319
212125.500,12,20.42,29.3,38°9.633528 N,122°27.226332 W,0,1,0,0,31.91,-1.01,11999.000,1,0.900,4.86,0.02,0.00,-0.20,-4.93730407523511,175.23,0.100,0.02,500,13.3000001907349,0,0.230000004172325,255,81.70,2955,-50.00,21,255,0.90,-0.17,-0.30,18.90,4.44000005722046,96.00,81.0,14,179.059997558594,204.800003051758,64.40,13.05,3.33587408065796
212125.600,12,20.27,29.0,38°9.633798 N,122°27.226158 W,0,1,0,0,31.85,-1.12,12099.000,1,1.000,5.42,0.03,-0.04,-0.22,-5.50513022888714,889.16,0.100,0.01,500,13.3999996185303,0,0.189999997615814,255,81.70,2997,-50.00,21,255,0.90,-0.17,-0.30,19.20,4.34999990463257,96.00,113.0,14,179.059997558594,204.800003051758,63.09,13.05,2.75572204589844
212125.700,12,20.49,28.2,38°9.634074 N,122°27.225984 W,0,1,0,0,31.81,-1.15,12199.000,1,1.100,5.99,0.08,0.06,-0.25,-5.62198038163096,145.22,0.100,0.03,500,13.3999996185303,0,0.129999995231628,255,81.70,3045,-50.00,21,255,0.90,-0.17,-0.30,20.00,4.36999988555908,96.00,129.0,15,179.059997558594,204.800003051758,63.38,13.05,1.88549399375916
212125.800,12,20.73,26.1,38°9.634368 N,122°27.225828 W,0,1,0,0,31.76,-1.22,12299.000,1,1.200,6.56,0.21,0.07,-0.28,-5.90391665058846,62.88,0.100,0.07,500,13.3999996185303,0,0.119999997317791,255,81.70,3045,-50.00,21,255,0.90,-0.17,-0.30,20.00,4.40000009536743,96.00,144.0,15,179.059997558594,204.800003051758,63.82,13.05,1.74045598506927
212125.900,12,20.99,23.6,38°9.634668 N,122°27.225690 W,0,1,0,0,31.76,-1.22,12399.000,1,1.300,7.14,0.27,0.07,-0.31,-5.83079268292683,34.94,0.100,0.11,500,13.3999996185303,0,0.109999999403954,255,81.70,3115,-50.00,21,255,0.90,-0.29,-0.33,20.20,4.3899998664856,96.00,158.0,16,179.059997558594,204.800003051758,63.67,13.05,1.59541797637939
212126.000,12,21.30,21.9,38°9.634974 N,122°27.225552 W,0,1,0,0,31.73,-1.26,12499.000,1,1.400,7.73,0.17,0.09,-0.35,-5.91604845525401,28.88,0.100,0.13,500,13.3999996185303,0,0.129999995231628,255,81.70,3132,-50.00,21,255,0.90,-0.29,-0.33,20.80,4.44000005722046,96.00,158.0,16,179.059997558594,204.800003051758,64.40,13.05,1.88549399375916
212126.100,12,21.77,20.0,38°9.635286 N,122°27.225426 W,0,1,0,0,31.69,-1.26,12599.000,1,1.500,8.33,0.21,0.13,-0.38,-5.78884498759533,25.59,0.100,0.17,500,13.3999996185303,0,0.0599999986588955,255,81.70,3171,-50.00,21,255,1.00,-0.29,-0.33,20.60,4.40999984741211,96.00,159.0,17,179.059997558594,204.800003051758,63.96,14.50,0.870227992534637
212126.200,12,22.06,16.7,38°9.635628 N,122°27.225348 W,0,1,0,0,31.42,-1.40,12699.000,1,1.600,8.93,0.36,0.08,-0.41,-6.36417206835592,19.57,0.100,0.20,500,13.3999996185303,0,0.140000000596046,255,81.70,3235,-50.00,21,255,1.00,-0.29,-0.33,21.00,4.42999982833862,96.00,167.0,18,179.059997558594,204.800003051758,64.25,14.50,2.03053188323975
212126.300,12,21.77,15.3,38°9.635952 N,122°27.225258 W,0,1,0,0,31.37,-1.33,12799.000,1,1.700,9.54,0.15,-0.08,-0.45,-6.11879277872204,17.69,0.100,0.17,500,13.3999996185303,0,0.219999998807907,255,81.70,3243,-50.00,21,255,0.90,-0.29,-0.33,21.60,4.42999982833862,96.00,167.0,18,179.059997558594,204.800003051758,64.25,13.05,3.19083595275879
212126.400,12,23.06,10.6,38°9.636312 N,122°27.225210 W,0,1,0,0,31.24,-1.40,12899.000,1,1.800,10.17,0.53,0.37,-0.49,-6.08793686583991,14.60,0.100,0.31,500,13.3999996185303,0,0.0999999865889549,255,81.70,3243,-50.00,21,255,1.00,-0.31,-0.29,22.00,4.40000009536743,96.00,172.0,19,179.059997558594,204.800003051758,63.82,14.50,1.45037996768951
212126.500,12,22.84,8.8,38°9.636648 N,122°27.225156 W,0,1,0,0,31.18,-1.44,12999.000,1,1.900,10.80,0.20,-0.06,-0.52,-6.30528067256327,14.67,0.100,0.24,500,13.3999996185303,0,0.200000002980232,255,81.70,3260,-50.00,21,255,1.00,-0.31,-0.29,21.90,4.55000019073486,96.00,172.0,22,179.059997558594,204.800003051758,65.99,14.50,2.90075993537903
212126.600,12,22.70,6.3,38°9.636990 N,122°27.225126 W,0,1,0,0,31.21,-1.33,13099.000,1,2.000,11.44,0.29,-0.04,-0.56,-5.86732446480486,14.60,0.100,0.25,500,13.3999996185303,0,0.129999995231628,255,81.70,3310,-50.00,21,255,1.00,-0.31,-0.29,22.20,4.57000017166138,96.00,173.0,25,179.059997558594,204.800003051758,66.28,14.50,1.88549399375916
212126.700,12,23.49,4.3,38°9.637350 N,122°27.225102 W,0,1,0,0,31.19,-1.37,13199.000,1,2.100,12.08,0.23,0.22,-0.60,-5.82276325870435,14.82,0.100,0.27,500,13.3999996185303,0,0.140000000596046,255,81.70,3425,-50.00,21,255,1.00,-0.30,-0.15,22.20,4.53000020980835,96.00,173.0,25,179.059997558594,204.800003051758,65.70,14.50,2.03053188323975
212126.800,12,24.22,1.6,38°9.637722 N,122°27.225108 W,0,1,0,0,31.21,-1.30,13299.000,1,2.200,12.74,0.32,0.21,-0.64,-5.35006605019815,14.61,0.100,0.31,500,13.3999996185303,0,0.189999997615814,255,81.70,3473,-50.00,21,255,1.00,-0.30,-0.15,22.50,4.55000019073486,96.00,173.0,25,179.059997558594,204.800003051758,65.99,14.50,2.75572204589844
212126.900,12,24.56,358.5,38°9.638088 N,122°27.225138 W,0,1,0,0,31.24,-1.22,13399.000,1,2.300,13.42,0.37,0.10,-0.67,-4.98310466962505,15.06,0.100,0.31,500,13.3999996185303,0,0.189999997615814,255,81.70,3600,-50.00,21,255,1.00,-0.30,-0.15,23.10,4.6399998664856,96.00,173.0,26,179.059997558594,204.800003051758,67.30,14.50,2.75572204589844
212127.000,12,25.68,356.1,38°9.638484 N,122°27.225180 W,0,1,0,0,31.27,-1.19,13499.000,1,2.400,14.12,0.30,0.31,-0.71,-4.62706913339825,14.96,0.100,0.36,500,13.3999996185303,0,0.170000001788139,255,81.70,3600,-50.00,21,255,1.00,-0.30,-0.15,22.90,4.67999982833862,96.00,172.0,29,179.059997558594,204.800003051758,67.88,14.50,2.46564602851868
